word,count
chile,93
país,42
mundo,29
ley,26
educación,22
jóvenes,21
familias,20
chilenos,20
nacional,19
programa,17
calidad,17
aquí,17
trabajo,15
millones,14
gobierno,14
vida,14
condiciones,13
crecimiento,13
esfuerzo,13
superior,12
