word,count
chile,69
país,29
educación,23
millones,21
chilenos,21
mundo,20
progreso,19
infraestructura,19
nacional,19
chilenas,18
reforma,17
justicia,16
crecimiento,15
presidente,15
salud,14
futuro,14
desarrollo,14
países,13
