word,count
chile,89
país,61
salud,33
millones,30
educación,24
chilenos,23
gobierno,23
reforma,22
aquí,21
jóvenes,21
mundo,19
aquellos,17
atención,17
nacional,17
recursos,16
crecimiento,16
programa,16
tiempo,16
