word,count
chile,47
chilenos,26
mundo,26
salud,21
sistema,20
reforma,19
país,19
ciento,17
millones,16
gobierno,16
personas,15
ley,15
proyecto,14
economía,14
becas,13
atención,13
estado,13
público,13
nacional,12
educación,12
