word,count
chile,58
país,29
mundo,26
gobierno,26
siglo,21
reforma,19
política,19
reformas,18
quiero,17
estado,16
desarrollo,15
nación,15
internet,15
futuro,14
chilenos,13
cultura,13
sociedad,13
esfuerzo,13
defensa,13
desafío,12
