word,count
chile,91
país,40
ciento,36
ley,29
millones,28
desarrollo,21
nacional,20
chilenos,19
programa,17
mundo,17
sector,15
esfuerzo,15
crecimiento,14
social,14
aquí,14
reforma,14
recursos,13
personas,13
