word,count
chile,65
ley,41
gobierno,40
país,39
proyecto,32
estado,31
educación,31
millones,29
familias,27
vida,27
salud,26
congreso,25
chilenos,25
está,24
plan,22
nacional,20
derechos,19
trabajo,18
mayo,18
materia,18
mensaje,17
