word,count
chile,94
país,53
ciento,49
mensaje,48
chilenos,46
ley,43
familias,42
educación,40
sociedad,37
estado,36
gobierno,33
proyecto,33
presidencial_2012,32
sistema,32
oportunidades,27
jóvenes,26
calidad,26
