word,count
chile,56
gobierno,46
país,43
educación,39
chilenos,37
ley,34
vida,31
desarrollo,29
congreso,28
calidad,28
salud,25
estado,25
sociedad,21
proyecto,20
compatriotas,19
programa,19
sistema,17
