word,count
chile,63
país,52
gobierno,43
ley,41
sistema,34
salud,33
calidad,33
estado,33
educación,32
materia,31
proyecto,31
personas,30
chilenos,29
desarrollo,28
trabajo,27
congreso,26
oportunidades,24
nacional,23
pobreza,22
sociedad,22
millones,22
vida,22
